fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_sum_hessian_in_leaf	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	feature_fraction	extra_trees	seed	learning_rate	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	min_gain_to_split	estimulos	qsemillas	ganancia	metrica	iteracion_bayesiana
20241010.143134	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	74	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.107281104189825	6677	2692	194.142905344138	360.696621524288	1.10653365461409	2970	1	11296384.0399002	11296384.0399002	30
20241010.143153	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	61	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0976013477130028	6572	8675	1.09007671992488	428.113061632947	4.85508384352259	2300	1	11651521.1970075	11651521.1970075	31
20241010.143215	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	102	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.100317420109744	5198	5583	1.4233302762984	437.450651488169	5.11562034288815	2800	1	11323690.7730673	11323690.7730673	32
20241010.143233	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	36	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0981429283337214	357	23986	553.274038375998	826.278502447823	8.19098013273292	2884	1	10324458.8528678	10324458.8528678	33
20241010.143253	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	82	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.11040222225121	8180	10744	167.158068702478	676.331247865463	5.90485216401653	2578	1	11382209.4763092	11382209.4763092	34
20241010.143315	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	90	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0940783787405001	5689	10947	63.9464949390513	47.2453324778187	7.51094007905622	2081	1	11724680.798005	11724680.798005	35
20241010.143335	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	83	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0876450053478135	6064	10892	38.9779368761164	246.454339423115	1.18930152124095	2147	1	11677802.9925187	11677802.9925187	36
20241010.143357	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	102	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0782962428149977	5839	10643	98.353873891098	268.270583644206	9.51564653741833	2289	1	11524720.6982544	11524720.6982544	37
20241010.143414	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	37	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.105933344630239	4948	24556	282.096758348935	756.141231009029	19.9144234173344	2915	1	10314351.6209476	10314351.6209476	38
20241010.143436	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	113	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.146851416686346	7921	11619	4.1456990081663	136.971132839996	5.91399664132973	2066	1	12063246.882793	12063246.882793	39
20241010.143455	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	75	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.148269938816307	8179	7885	5.25064288320475	12.9445768672306	2.14876600571939	2767	1	12112765.5860349	12112765.5860349	40
