fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241012.145214	1	334	1	558209	1900	6.959	6.959
20241012.145220	1	334	1	558209	2000	6.689	6.689
20241012.145226	1	334	1	558209	2100	6.429	6.429
20241012.145232	1	334	1	558209	2200	6.189	6.189
20241012.145239	1	334	1	610523	1600	5.849	5.849
20241012.145245	1	334	1	610523	1700	5.569	5.569
20241012.145251	1	334	1	610523	1800	5.349	5.349
20241012.145257	1	334	1	610523	1900	5.139	5.139
20241012.145303	1	334	1	610523	2000	6.069	6.069
20241012.145310	1	334	1	610523	2100	5.829	5.829
20241012.145316	1	334	1	610523	2200	5.519	5.519
20241012.145323	1	334	1	268937	1600	6.219	6.219
20241012.145329	1	334	1	268937	1700	6.709	6.709
20241012.145335	1	334	1	268937	1800	6.889	6.889
20241012.145341	1	334	1	268937	1900	6.619	6.619
20241012.145347	1	334	1	268937	2000	6.249	6.249
20241012.145353	1	334	1	268937	2100	6.739	6.739
20241012.145400	1	334	1	268937	2200	6.859	6.859
20241012.145406	1	334	1	959207	1600	5.049	5.049
20241012.145412	1	334	1	959207	1700	5.119	5.119
20241012.145418	1	334	1	959207	1800	4.769	4.769
20241012.145424	1	334	1	959207	1900	5.239	5.239
20241012.145430	1	334	1	959207	2000	5.349	5.349
20241012.145437	1	334	1	959207	2100	5.009	5.009
20241012.145443	1	334	1	959207	2200	5.849	5.849
20241012.145449	1	334	1	774233	1600	5.139	5.139
20241012.145455	1	334	1	774233	1700	4.809	4.809
20241012.145501	1	334	1	774233	1800	4.519	4.519
20241012.145508	1	334	1	774233	1900	4.199	4.199
20241012.145514	1	334	1	774233	2000	4.299	4.299
20241012.145520	1	334	1	774233	2100	4.419	4.419
20241012.145526	1	334	1	774233	2200	4.939	4.939
20241012.145533	1	334	1	328243	1600	6.169	6.169
20241012.145539	1	334	1	328243	1700	6.309	6.309
20241012.145546	1	334	1	328243	1800	6.409	6.409
20241012.145552	1	334	1	328243	1900	6.549	6.549
20241012.145559	1	334	1	328243	2000	6.289	6.289
20241012.145606	1	334	1	328243	2100	6.369	6.369
20241012.145613	1	334	1	328243	2200	6.509	6.509
20241012.145620	1	334	1	494587	1600	5.759	5.759
20241012.145626	1	334	1	494587	1700	5.469	5.469
20241012.145633	1	334	1	494587	1800	5.989	5.989
20241012.145640	1	334	1	494587	1900	6.899	6.899
20241012.145646	1	334	1	494587	2000	6.589	6.589
20241012.145653	1	334	1	494587	2100	7.099	7.099
20241012.145700	1	334	1	494587	2200	7.189	7.189
20241012.145706	1	334	1	772073	1600	5.769	5.769
20241012.145713	1	334	1	772073	1700	5.499	5.499
20241012.145720	1	334	1	772073	1800	5.569	5.569
20241012.145726	1	334	1	772073	1900	6.089	6.089
20241012.145733	1	334	1	772073	2000	6.229	6.229
20241012.145739	1	334	1	772073	2100	6.409	6.409
20241012.145745	1	334	1	772073	2200	6.109	6.109
20241012.145752	1	334	1	481021	1600	7.079	7.079
20241012.145759	1	334	1	481021	1700	6.759	6.759
20241012.145805	1	334	1	481021	1800	6.389	6.389
20241012.145811	1	334	1	481021	1900	6.479	6.479
20241012.145817	1	334	1	481021	2000	6.179	6.179
20241012.145824	1	334	1	481021	2100	5.869	5.869
20241012.145830	1	334	1	481021	2200	6.789	6.789
20241012.145836	1	334	1	697087	1600	6.379	6.379
20241012.145843	1	334	1	697087	1700	6.469	6.469
20241012.145849	1	334	1	697087	1800	6.599	6.599
20241012.145855	1	334	1	697087	1900	7.149	7.149
20241012.145901	1	334	1	697087	2000	6.789	6.789
20241012.145907	1	334	1	697087	2100	6.899	6.899
20241012.145914	1	334	1	697087	2200	6.509	6.509
20241012.145920	1	334	1	422881	1600	6.239	6.239
20241012.145926	1	334	1	422881	1700	5.999	5.999
20241012.145933	1	334	1	422881	1800	5.749	5.749
20241012.145939	1	334	1	422881	1900	5.469	5.469
20241012.145946	1	334	1	422881	2000	5.579	5.579
20241012.145952	1	334	1	422881	2100	5.279	5.279
20241012.145958	1	334	1	422881	2200	5.389	5.389
20241012.150004	1	334	1	340477	1600	4.689	4.689
20241012.150011	1	334	1	340477	1700	4.449	4.449
20241012.150017	1	334	1	340477	1800	4.579	4.579
20241012.150023	1	334	1	340477	1900	4.659	4.659
20241012.150029	1	334	1	340477	2000	5.599	5.599
20241012.150035	1	334	1	340477	2100	5.249	5.249
20241012.150042	1	334	1	340477	2200	5.669	5.669
20241012.150048	1	334	1	397183	1600	5.339	5.339
20241012.150054	1	334	1	397183	1700	5.419	5.419
20241012.150101	1	334	1	397183	1800	5.119	5.119
20241012.150107	1	334	1	397183	1900	5.239	5.239
20241012.150113	1	334	1	397183	2000	4.899	4.899
20241012.150119	1	334	1	397183	2100	5.059	5.059
20241012.150126	1	334	1	397183	2200	4.789	4.789
20241012.150132	1	334	1	541339	1600	5.479	5.479
20241012.150138	1	334	1	541339	1700	5.219	5.219
20241012.150144	1	334	1	541339	1800	5.229	5.229
20241012.150151	1	334	1	541339	1900	5.729	5.729
20241012.150157	1	334	1	541339	2000	6.219	6.219
20241012.150203	1	334	1	541339	2100	6.599	6.599
20241012.150209	1	334	1	541339	2200	6.319	6.319
20241012.150216	1	334	1	374009	1600	5.779	5.779
20241012.150222	1	334	1	374009	1700	5.839	5.839
20241012.150228	1	334	1	374009	1800	5.539	5.539
20241012.150234	1	334	1	374009	1900	5.249	5.249
20241012.150241	1	334	1	374009	2000	5.749	5.749
20241012.150247	1	334	1	374009	2100	5.929	5.929
20241012.150253	1	334	1	374009	2200	5.579	5.579
20241012.150259	1	334	1	115319	1600	6.179	6.179
20241012.150306	1	334	1	115319	1700	5.829	5.829
20241012.150312	1	334	1	115319	1800	5.999	5.999
20241012.150318	1	334	1	115319	1900	5.709	5.709
20241012.150324	1	334	1	115319	2000	5.439	5.439
20241012.150331	1	334	1	115319	2100	5.559	5.559
20241012.150337	1	334	1	115319	2200	5.209	5.209
20241012.150343	1	334	1	925447	1600	5.399	5.399
20241012.150349	1	334	1	925447	1700	5.099	5.099
20241012.150356	1	334	1	925447	1800	5.159	5.159
20241012.150402	1	334	1	925447	1900	5.329	5.329
20241012.150408	1	334	1	925447	2000	5.479	5.479
20241012.150414	1	334	1	925447	2100	5.589	5.589
20241012.150420	1	334	1	925447	2200	5.669	5.669
20241012.150427	1	334	1	683201	1600	5.799	5.799
20241012.150433	1	334	1	683201	1700	6.349	6.349
20241012.150439	1	334	1	683201	1800	6.869	6.869
20241012.150445	1	334	1	683201	1900	6.889	6.889
20241012.150452	1	334	1	683201	2000	6.959	6.959
20241012.150458	1	334	1	683201	2100	6.659	6.659
20241012.150504	1	334	1	683201	2200	6.389	6.389
20241012.150511	1	334	1	912511	1600	5.439	5.439
20241012.150518	1	334	1	912511	1700	5.169	5.169
20241012.150524	1	334	1	912511	1800	5.189	5.189
20241012.150530	1	334	1	912511	1900	4.899	4.899
20241012.150536	1	334	1	912511	2000	4.589	4.589
20241012.150542	1	334	1	912511	2100	5.919	5.919
20241012.150549	1	334	1	912511	2200	6.029	6.029
20241012.150555	1	334	1	123001	1600	6.399	6.399
20241012.150601	1	334	1	123001	1700	6.059	6.059
20241012.150607	1	334	1	123001	1800	5.799	5.799
20241012.150614	1	334	1	123001	1900	5.909	5.909
20241012.150620	1	334	1	123001	2000	6.009	6.009
20241012.150626	1	334	1	123001	2100	5.809	5.809
20241012.150632	1	334	1	123001	2200	5.459	5.459
20241012.150639	1	334	1	237467	1600	5.969	5.969
20241012.150645	1	334	1	237467	1700	6.009	6.009
20241012.150651	1	334	1	237467	1800	5.739	5.739
20241012.150657	1	334	1	237467	1900	5.479	5.479
20241012.150703	1	334	1	237467	2000	5.129	5.129
20241012.150710	1	334	1	237467	2100	4.779	4.779
20241012.150716	1	334	1	237467	2200	4.469	4.469
20241012.150722	1	334	1	155251	1600	5.379	5.379
20241012.150728	1	334	1	155251	1700	5.179	5.179
20241012.150734	1	334	1	155251	1800	4.839	4.839
20241012.150741	1	334	1	155251	1900	4.909	4.909
20241012.150747	1	334	1	155251	2000	4.929	4.929
20241012.150753	1	334	1	155251	2100	5.019	5.019
20241012.150759	1	334	1	155251	2200	5.189	5.189
20241012.150801	1	334	30	-1	1600	5.91633333333333	5.91633333333333
20241012.150802	1	334	30	-1	1700	5.88733333333333	5.88733333333333
20241012.150803	1	334	30	-1	1800	5.84466666666667	5.84466666666667
20241012.150804	1	334	30	-1	1900	5.93	5.93
20241012.150806	1	334	30	-1	2000	5.946	5.946
20241012.150807	1	334	30	-1	2100	5.96866666666667	5.96866666666667
20241012.150808	1	334	30	-1	2200	5.978	5.978
