fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	learning_rate	feature_fraction	min_data_in_leaf	seed	num_leaves	estimulos	qsemillas	ganancia	metrica	iteracion_bayesiana
20241007.161939	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	33
20241007.162008	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	34
20241007.162038	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	35
20241007.162106	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	36
20241007.162135	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	37
20241007.162203	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	38
20241007.162231	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	39
20241007.162259	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	40
20241007.162325	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	41
20241007.162351	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	42
20241007.162419	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	43
20241007.162445	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	44
20241007.162511	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	45
20241007.162539	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	46
20241007.162606	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	47
20241007.162635	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	48
20241007.162701	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	49
20241007.162728	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	50
20241007.162755	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	51
20241007.162822	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	52
20241007.162848	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	53
20241007.162916	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	54
20241007.162943	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	55
20241007.163011	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	56
20241007.163038	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	57
